bin_names,categories,checksum,crate_id,crate_size,created_at,description,documentation,downloads,edition,features,has_lib,homepage,id,keywords,license,links,num,num_no_build,published_by,repository,rust_version,updated_at,yanked
{},{},f50ddde89b1a9ae1677de9eaff3578a005da42879622ddef1a057b037e0ff834,276384,3857884,2020-10-09 21:09:21.406344+00,ffi bindings to zcashd's zcash_script library,https://docs.rs/zcash_script,9163,2018,"{""external-secp"": []}",t,,291854,{},Apache-2.0,,0.1.3,0.1.3,43601,https://github.com/ZcashFoundation/zcash_script,,2020-10-09 21:09:21.406344+00,f
{},{},010e18bd3bfd1d45a7e666b236c78720df0d9a7698ebaa9c1c559961eb60a38b,8049,40560,2022-03-24 14:24:21.048155+00,Raw system calls,https://docs.rs/sc,71313,,{},t,,521502,"{syscall,system,call}",MIT OR Apache-2.0,,0.2.7,0.2.7,246,https://github.com/japaric/syscall.rs,,2022-03-24 14:24:21.048155+00,f
{rinf},{},92973e5436cd2cf8d9cd8e72f4b256f34fa6d5c5528bdd3c8d02a79f3ad0ee03,1005978,6087,2024-01-10 11:28:24.846738+00,"Rust for native business logic, Flutter for flexible and beautiful GUI",https://rinf.cunarist.com,1213,2021,{},t,,1009857,{},MIT,,5.1.3,5.1.3,223585,https://github.com/cunarist/rinf,,2024-01-10 11:28:24.846738+00,f
{main},{},98677376fcce2a5d06953a3abcbdd0b060f1bf1df829278f3398f10956b07c1a,985474,12607,2023-09-30 18:01:17.312962+00,Load cookie from your web browsers,https://docs.rs/rookie/,1104,2021,{},t,https://crates.io/crates/rookie,911916,"{windows,cookies,rust,web}",non-standard,,0.1.6,0.1.6,230846,https://github.com/thewh1teagle/rookie,,2023-09-30 18:01:17.312962+00,f
{},{},c7d3b2243e2adfaea41da41982f91ecab8083fa51b240d0427955d709f65b1b4,1589559,11560,2025-04-09 11:41:16.7764+00,Bindings for named hardforks,,179108,2021,"{""serde"": [""dep:serde"", ""alloy-primitives/serde""]}",t,https://github.com/alloy-rs/hardforks,1516917,{},MIT OR Apache-2.0,,0.2.0,0.2.0,9617,https://github.com/alloy-rs/hardforks,1.81,2025-04-09 11:41:16.7764+00,f
{},{wasm},3d1a90743bb4d3f68606cb4e9a78551a53399ebc35ddba981cbb56bf2b31940a,773043,4264,2024-09-07 16:55:59.379547+00,,,29201,2021,{},t,,1263165,"{wasm,browser,channel}",MIT OR Apache-2.0,,0.18.0,0.18.0,172710,https://github.com/workflow-rs/workflow-rs,,2024-09-07 16:55:59.379547+00,f
{},{},9a0c8d4a6b99054853778e3e9ffb0b74bcb5e8f43d99d97e5c0252c57ce67bf6,742394,15827,2024-04-21 13:24:45.359296+00,Interactive mode extension crate to Command Line Arguments Parser (https://crates.io/crates/clap) (derive macros helper crate),,22878,2018,{},t,,1121412,{},MIT OR Apache-2.0,,0.2.10,0.2.10,21415,https://github.com/FroVolod/interactive-clap/tree/master/interactive-clap-derive,,2024-04-21 13:24:45.359296+00,f
{},{},3200cc1e57efa2d18f370dd828d26106fe9e4b01332272ed3fb5d005a0edee52,880623,28498,2025-07-26 02:56:40.593781+00,Solana Loader v4,,8013,2021,"{""shuttle-test"": [""solana-type-overrides/shuttle-test"", ""solana-program-runtime/shuttle-test"", ""solana-sbpf/shuttle-test""], ""svm-internal"": [], ""agave-unstable-api"": []}",t,https://anza.xyz/,1658252,{},Apache-2.0,,2.3.6,2.3.6,187432,https://github.com/anza-xyz/agave,,2025-07-26 02:56:40.593781+00,f
{},"{command-line-interface,gui}",8677aecf40fbe9ad2275e7f597ef3ad1f8f3f6f71e00f17017251329301a1193,1527439,10751,2025-02-09 04:10:55.101433+00,A Ratatui widget for displaying QR codes in the terminal,https://docs.rs/tui-qrcode,2005,2021,{},t,,1439547,"{cli,console,ratatui,terminal,tui}",MIT OR Apache-2.0,,0.1.1,0.1.1,205494,https://github.com/joshka/tui-widgets,1.80.0,2025-02-09 04:10:55.101433+00,f
{},{},865fcfbbedb8bd1fb12fc0f9c78d52239cfdee3c19129007681ce862e5368734,919970,3061,2023-07-19 02:13:23.668446+00,A macro to enable compabatility between Axum and and WASM,,1229,2021,{},t,,849396,"{Axum,WASM,Cloudflare,browser}",MIT,,0.1.0,0.1.0,44426,https://github.com/logankeenan/axum-cloudflare-adapter,1.63,2023-07-19 02:13:23.668446+00,f
